Current St #,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Year Current Building Built
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lebanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Mafia,
189 -1st Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,"Chris Douglas, Fruiterer","Chris Douglas, Fruiterer & Confectioner",,Jno H George Fruitier and Confectioner,,,,,Jno H George Fruitier and Confectioner,,,,,,,,,,"George, Jno H, frtr & cnf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perth Hostel,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934
191,Harry T Dermer. Stationer,,Harry T Dermer. Stationer,Harry T Dermer. Stationer,"L. Con, Draper",,,L. Con. Draper,,,,,Louis Boxhorn. Watchmaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boxhorn A R, watchmaker and jeweller ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Mrs M Trainor. Tobacconist,"Miss Blance Nauveau, Refreshment Rooms","Miss Blance Nauveau, Refreshment Rooms",,"William Brown, Sadler","William Brown, Sadler",,National Bank of Australasia Ltd (Colin C Walker Manager),,,,,National Bank of Australasia Ltd,,,,,,,,,,"Cohen, Saml, tailor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden Ravioli,,"Perth Hostel,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934
193,"W J Riley, Tobacconist & Hairdresser",,"W J Riley, Tobacconist & Hairdresser","W J Riley, Tobacconist & Hairdresser","William J Riley, Tobacconist & Hairdresser",,,"William J Riley, Tobacconist & Hairdresser",,,,,"William J Riley, Tobacconist & Hairdresser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anastasas M, fruitier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,J Ballantyne. Grocer,"Ballantyne & Co, grocers","William John, Grocer","William John, Grocer","Arthur E. Stephenson, Furniture Dealer","Arthur E. Stephenson, Furniture Dealer",,"Lance & Co. Chemists (F. W Chegwidden, proprietor)",,,,,Vacant,,,,,"Wearne Bros Grocers 1925 notice says corner newcastle?, business changes name to Town and Country Cash Stores",,,,,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perth Hostel,",,,,,,,,,,,,,,,,,,,Romany Restaurant,Romany Restaurant,Romany Restaurant,Romany Restaurant,Romany Restaurant Date TBC,,,,Govindas,Govindas,Govindas,Govindas,Govindas,"1903, 1951 (substantially renovated)"
195,Albert Weaver. Bootmaker,,Albert Weaver. Bootmaker,"Albert Weaver, Bootmaker","Albert Weaver, Bootmaker",,,Albert Weaver. Bootmaker,,,,,Weaver & Dubberlin. Bootmakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franchina C, Furniture mfr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stefan Spanish Casa Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is Donburi,Is Donburi,Is Donburi,
196,J Ballantyne. Grocer,"Ballantyne & Co, grocers","William John, Grocer","William John, Grocer","Alex Teplitzky, Clother ","Alex Teplitzky, Clother ",,"Maurice J Fieldman, Dealer",,,,,"Wearne Bros, Grocers",,,,,,,,,,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perth Hostel,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1903, 1951 (substantially renovated)"
197,"W Santiy, Greengrocer & Fruiterer",,-,,,Thomas Robert Loy. Baker,,Mrs Alice Loy. Tea Rooms,,,,,W J C Griggs. Draper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wong Sue, herbalist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Perth Coffee Palace. F. G. Thomas (manager),"Perth Coffee Palace, F.J. Thomas, Proprietor","Perth Coffee Palace. William Jones, R","Perth Coffee Palace. William Jones, R","Perth Coffee Palace. William Jones, R","Perth Coffee Palace (Mrs L. M. Payne, Proprietress)",,Perth Hostel (Mrs A Thomas Proprietor),,,,,"Perth Hostel (E J Formeman, Manager)",,,,,,,,,,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1903, 1951 (substantially renovated)"
199,Mrs Alice Loy. Baker,,Mrs Alice Loy. Baker,"Mrs Alice Loy, Baker","Mrs Alice Loy, Pastry Cook",Thomas Robert Loy,,Thomas Robert Loy,,,,,Thomas. R Loy. Pastry Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marchesi A, welder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?Boutique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199 (off),-,,-,Busy Bee Letterbox,Busy Bee Letterbox,,,Busy Bee Letter Box,,,,,"Busy Bee Letter Box / The Perth Night Watch Patroling Co. (F M Dean Mirza, superintendent)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"Caird, George. Fruiterer & Confectioner","Caird, George. Fruiterer & Confectioner","Caird, George. Fruiterer & Confectioner","Mrs A. Wren, ham & beef","Anthony Picone, Confectioner","Mrs Hardy, Wine Saloon",,Mrs Hardy. Wine Saloon & Confectioner,,,,,Young Brothers Wine Saloon,,,,,,,,,,"Symonds, Edwin, sd & plant merchant",,,,,,,,,,,,,,,,,,,"Symonds Edwin, and plant mchnt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sauma, Modern Indian Restaurant",1897
201,,,Mrs D Cohen. Dressmaker & Milliner,,"Sidney J. Kembrey, Leather & Grindery",,,Sydney Kaberry. Leather & Grindery,,,,,"Albert Hutchins, Bootmaker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georges & Christo, Mixed Businesses; Symonds Edwin, and plant mchnt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northbridge Bargain Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy Bee Pharmacy,1894
202,"David Rosen, pawnbroker","Rosen David, pawnbroker",Phillip Rosen Pawn Broker,"David Rosen, Pawn Broker","David Rosen, Pawn Broker","David Rosen, Pawn Broker",,"David Rosen, pawnbroker",,,,,Phillip Rosen Pawn Broker,,,,,,,,,,"Symonds, Edwin, sd & plant merchant",,,,,,,,,,,,,,,,,,,"Symonds Edwin, and plant mchnt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precision Photographic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy Bee Pharmacy,1897
203,,,-,"Vasla Zako, Fish Saloon","Vasla Zako, Fish Saloon",,,S Lucas. Fish Shop,,,,,S Lucas. Fish Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medd K L, Chemist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medd's Pharmacy,Medd's Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy Bee Pharmacy,1894
204,Jno. N Birks. Chemist.,Griffiths W.A. chemist,,,,"E. Baker, Furniture Maker",,"Mary A Daniels, Furniture Dealer; William Daniels, Carrier",,,,,"Mary A Daniels Furniture Dealer; Jas Wilson; William Daniels, Carrier",,,,,,,,,,"Menara, V, cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franco's Coffee Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy Bee Pharmacy,1897
205,"Joe Johnson, Fishmonger",,W Grittiths Almond. Chemist,"William Flint, Tobacconist","William Flint, Tobacconist",,,William Flint. Tobacconist & Hairdresser,,,,,William Flint. Tobacconist & Hairdresser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scotis N, hairdresser and tobacconist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Spina & Kotula Estate Agents,La Spina & Kotula Estate Agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy Bee Pharmacy,1894
205(upstairs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
