street_number,latitude,longitude,name_and_business,icon,
423,-31.94374365,115.8622028,423   M:1,bar,
424,-31.94403318,115.8629041,424   M:1,bar,
425,-31.94383742,115.862405,425   M:1,bar,
426,-31.94410551,115.8630128,426   M:1,bar,
427,-31.94347402,115.8624159,427   M:1,bar,
428,-31.94378164,115.8627917,428   M:1,bar,
429,-31.94336971,115.8625059,429   M:1,bar,
430,-31.94395913,115.8630993,430   M:1,bar,
431,-31.9433692,115.8626138,431   M:1,bar,
432,-31.94370457,115.8628365,432   M:1,bar,
433,-31.94331671,115.8625415,433   M:1,bar,
434,-31.94377496,115.8630098,434   M:1,bar,
435,-31.94341558,115.8627436,435   M:1,bar,
436,-31.94362319,115.8628993,436   M:1,bar,
437,-31.94327966,115.8625694,437   M:1,bar,
438,-31.94363399,115.8631152,438   M:1,bar,
439,-31.94332801,115.8626852,439   M:1,bar,
440,-31.94349072,115.8629884,440   M:1,bar,
441,-31.94336932,115.8627794,441   M:1,bar,
442,-31.94360952,115.8632686,442   M:1,bar,
443,-31.94326226,115.8627502,443   M:1,bar,
444,-31.9434433,115.8630107,444   M:1,bar,
445,-31.94317471,115.8626471,445   M:1,bar,
446,-31.94352089,115.8633598,446   M:1,bar,
447,-31.94317815,115.862849,447   M:1,bar,
448,-31.94342782,115.863315,448   M:1,bar,
449,-31.9431105,115.8626592,449   M:1,bar,
450,-31.94330709,115.8631193,450   M:1,bar,
451,-31.94313168,115.8628801,451   M:1,bar,
452,-31.94322058,115.8631956,452   M:1,bar,
453,-31.94303548,115.8627134,453   M:1,bar,
454,-31.94330684,115.8634609,454   M:1,bar,
455,-31.94303863,115.8629299,455   M:1,bar,
456,-31.94330654,115.8632512,456   M:1,bar,
457,-31.94292954,115.8627757,457   M:1,bar,
458,-31.94317053,115.8634753,458   M:1,bar,
459,-31.94292947,115.862966,459   M:1,bar,
460,-31.94308452,115.8632627,460   M:1,bar,
?367,-31.94475267,115.8611961,?367   M:1,bar,
169a,-31.94958291,115.8585257,169a   M:1,bar,
181a,-31.9495571,115.8588102,181a   M:1,bar,
181b,-31.94951509,115.8587101,181b   M:1,bar,
185b,-31.94946145,115.8586304,185b   M:0,bar,
189 - Shop 3,-31.94951206,115.8587567,189 - Shop 3   M:0,bar,
189 - Shop 7,-31.94932718,115.8589828,189 - Shop 7   M:0,bar,"-31.949448, 115.858897"
189 -1st Floor,-31.94937231,115.8586678,189 -1st Floor   M:0,bar,
189_2,-31.94932381,115.8587898,189_2   M:0,bar,
189_3,-31.94928631,115.8588886,189_3   M:0,bar,
199 (off),-31.94943266,115.8588873,199 (off)   M:0,bar,
205(upstairs),-31.94918312,115.8590597,205(upstairs)   M:0,bar,"-31.949150, 115.859070"
209a,-31.94879249,115.859307,209a   M:0,bar,
210a,-31.94869231,115.8591359,210a   M:0,bar,
222a,-31.94898805,115.8597535,222a   M:0,bar,"-31.948753, 115.859873"
222b,-31.94875048,115.8599307,222b   M:0,bar,
225a,-31.94869152,115.8597881,225a   M:0,bar,
242 First Floor,-31.94844285,115.8594554,242 First Floor   M:0,bar,
242 Ground,-31.94826841,115.8599972,242 Ground   M:0,bar,
259a,-31.94830844,115.8600853,259a   M:0,bar,
259b,-31.94767129,115.8600013,259b   M:0,bar,
267a,-31.94761524,115.8599519,267a   M:0,bar,
267B,-31.9474814,115.8598773,267B   M:0,bar,
269a,-31.94749673,115.8600468,269a   M:0,bar,
273a,-31.94747342,115.8601747,273a   M:0,bar,
276 - First Floor,-31.94735349,115.8601559,276 - First Floor   M:0,bar,
276 - GROUND,-31.94752191,115.8606775,276 - GROUND   M:0,bar,
281a,-31.94747576,115.8604746,281a   M:0,bar,
283a,-31.94722699,115.8601759,283a   M:0,bar,
284a,-31.94705589,115.8604109,284a   M:0,bar,
286a,-31.94729339,115.8609079,286a   M:0,bar,
291a,-31.94710458,115.8608493,291a   M:0,bar,
292a,-31.94683004,115.8604207,292a   M:0,bar,
339 (off),-31.94700855,115.8610349,339 (off)   M:0,bar,
381a,-31.94557737,115.8613526,381a   M:0,bar,
388a,-31.94471571,115.8617983,388a   M:0,bar,
389a,-31.94484707,115.8622849,389a   M:0,bar,
390a,-31.94440469,115.8618529,390a   M:0,bar,
420a,-31.94485846,115.8624249,420a   M:0,bar,
428a,-31.94400721,115.8628122,428a   M:0,bar,
430a,-31.94386287,115.8631247,430a   M:1,bar,
434A,-31.94381345,115.863201,434A   M:1,bar,
435a,-31.94329567,115.8626238,435a   M:1,bar,
437a,-31.94323077,115.8626722,437a   M:1,bar,
438a,-31.94325271,115.8628157,438a   M:0,bar,
439a,,,439a   M:0,bar,
blank,,,blank   M:0,bar,
blank row,,,blank row   M:0,bar,
blank row,,,blank row   M:0,bar,
cnr (57 aberdeen,,,cnr (57 aberdeen   M:0,bar,
off 185/185a,,,off 185/185a   M:1,bar,
